abiye,akesim,ayakkabı,bej,bel,bir,blazer,bluz,bol,boğazlı,ceketle,clutch,crop,dantel,davetleri,dekolteli,detaylı,düz,düğünlerde,elbise,elbisesi,etekle,feminen,gece,geniş,gri,gömlek,görünüm,günlük,ideal,jean,kahverengi,kazakla,kokteyl,kol,kollu,kombin,kombinlenebilir,kombinlenerek,krem,krep,kruvaze,kullanım,kumaş,kısa,kışlık,lacivert,mezuniyet,modern,ofise,orta,pamuklu,pantolon,pantolonla,paça,saten,sağlar,siyah,sneaker,stil,straplez,sırt,takılarla,tamamlanabilir,tarz,tişörtle,top,topuklu,triko,uygun,uzun,volanlı,yaka,yeşil,yüksek,zarif,şifon,şık,şıklık
0.0,0.0,0.0,0.0,0.19979094703490602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3116536024017795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618635739336193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261419587063517,0.0,0.0,0.4097788405867165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19979094703490602,0.0,0.19979094703490602,0.0,0.0,0.0,0.3618635739336193,0.0,0.0,0.0,0.0,0.0,0.0,0.4097788405867165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2811161657832095,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.22594740758192533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35245502647298316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41188496233433974,0.0,0.0,0.0,0.0,0.3768213496349644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3318535937825256,0.0,0.0,0.22594740758192533,0.0,0.22594740758192533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994139064189458,0.0,0.3318535937825256,0.0,0.0,0.0,0.0,0.31791965467278965,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.202453431412375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31580680783921955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928214127835827,0.0,0.0,0.0,0.3142813297470526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928214127835827,0.36668589509817656,0.0,0.0,0.0,0.2848624186077733,0.0,0.202453431412375,0.0,0.202453431412375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928214127835827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.390317148276537,0.22228999089316365,0.0,0.0,0.0,0.37072173243826384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40521776950741883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32648187084436503,0.0,0.0,0.22228999089316365,0.0,0.22228999089316365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29456728556189116,0.0,0.32648187084436503,0.0,0.0,0.0,0.0,0.3127734807771498,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20037716777193965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3436635463411488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887928279833294,0.0,0.0,0.0,0.3110582137283749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887928279833294,0.3629253434190001,0.0,0.0,0.0,0.2819410085918715,0.0,0.20037716777193965,0.0,0.20037716777193965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887928279833294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2235787775072902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34876020392735363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4075671296160274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3283747381894423,0.0,0.0,0.2235787775072902,0.0,0.2235787775072902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29627511942821316,0.0,0.3283747381894423,0.0,0.0,0.0,0.399861430027301,0.314586870006506,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2045566640868475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31908763737337237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34114716810850476,0.39690232573642864,0.0,0.0,0.0,0.31754631151144785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39690232573642864,0.0,0.0,0.0,0.0,0.28782177544536997,0.0,0.2045566640868475,0.0,0.2045566640868475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39690232573642864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.393717639420262,0.22422660871461628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34977075486826387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087480767013874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32932622117664007,0.31549840192414785,0.0,0.22422660871461628,0.0,0.22422660871461628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2971335920903316,0.0,0.32932622117664007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1973801953349705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30789307439522345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357497193780004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40483429704656576,0.0,0.0,0.0,0.357497193780004,0.0,0.0,0.0,0.0,0.0,0.1973801953349705,0.0,0.1973801953349705,0.0,0.0,0.0,0.357497193780004,0.0,0.0,0.0,0.0,0.0,0.0,0.40483429704656576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27772411381789786,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20209641781852922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152499028628944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3708213954997038,0.0,0.0,0.0,0.0,0.0,0.0,0.39212869750906704,0.0,0.0,0.0,0.313727114853144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39212869750906704,0.0,0.0,0.0,0.0,0.28436008206988755,0.0,0.20209641781852922,0.0,0.20209641781852922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39212869750906704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
